,language,page_url,image_url,page_title,section_title,hierarchical_section_title,caption_reference_description,caption_attribution_description,caption_alt_text_description,mime_type,original_height,original_width,is_main_image,attribution_passes_lang_id,page_changed_recently,context_page_description
0,vi,https://vi.wikipedia.org/wiki/Feijoada,https://upload.wikimedia.org/wikipedia/commons/4/42/Feijoada_completa.jpg,Feijoada,,Feijoada,Feijoada của Brazil với các món đi kèm phổ biến,"English: Feijoada served in Curitiba, Brazil",,image/jpeg,2295,3539,True,True,True,"Feijoada là một món ăn phổ biến ở Bồ Đào Nha và một số quốc gia và vùng lãnh thổ từng là thuộc địa Bồ Đào Nha như Brasil, Angola, Ma Cao, Mozambique, Goa nhưng có mùi vị khác nhau theo khu vực. Món ăn này được chế biến từ đậu đen, thịt xông khói và một số bộ phận từ lợn như lưỡi, tai hay đuôi. Món ăn này được người dân Brasil sử dụng khá nhiều vào các buổi trưa.
Các thành phần cơ bản chế biến món feijoada là đậu với thịt lợn tươi hoặc thịt bò tươi. Ở phía tây bắc Bồ Đào Nha, nó thường được làm bằng đậu que; ở phía đông bắc, người ta dùng đậu tây, và bao gồm các loại rau khác như cà chua, cà rốt, và cải bắp. Món hầm này được đun bằng nồi đất dày bằng lửa nhỏ."
1,fil,https://tl.wikipedia.org/wiki/William_Howard_Taft,https://upload.wikimedia.org/wikipedia/commons/8/8b/William_Howard_Taft_as_Chief_Justice_SCOTUS.jpg,William Howard Taft,,William Howard Taft,,"William Howard Taft, 27th President of the United States, while Chief Justice of the US Supreme Court.",,image/jpeg,1526,1148,True,True,True,"Si William Howard Taft ay isang Amerikanong politiko, ang ika-27 Pangulo ng Estados Unidos, ang ika-10 Punong Mahistrado ng Estados Unidos, at isang pinuno ng konserbatibong bahagi ng Partidong Republikano noong umpisa ng ika-20 dantaon.
Si Taft ay nanungkulan bilang Solisitor Heneral ng Estados Unidos, isang hukom na pederal, Gobernador-Heneral ng Pilipinas, at Kalihim ng Digmaan, bago nahalal bilang Pangulo ng Pambansang Kumbensiyon ng mga Republikano noong 1908 sa tulong ng kanyang malapit na kaibigan na si Theodore Roosevelt.
Napagalit niya ang mga taong progresibo sa pamamagitan ng maingat na pagkilos patungo sa mga reporma at sa pamamagitan ng pagsuporta sa Payne-Aldrich Tariff, na hindi nakapagpababa ng husto sa mga taripa. Nawala niya ang suporta ni Theodore Roosevelt at natalo siya nang tumakbo para sa ikalawang termino bilang Pangulo ng Estados Unidos."
2,vi,https://vi.wikipedia.org/wiki/%C4%90%C3%B4ng_Nam_B%E1%BB%99,https://upload.wikimedia.org/wikipedia/commons/8/8d/Nh%C3%A0_ph%E1%BB%91_d%E1%BB%8Dc_k%C3%AAnh_T%C3%A0u_H%C5%A9.JPG,Đông Nam Bộ,Tổng hợp hình ảnh các tỉnh Đông Nam Bộ,Đông Nam Bộ / Tổng hợp hình ảnh các tỉnh Đông Nam Bộ,,Tiếng Việt: Một dãy nhà xây bên dòng kênh Tàu Hũ thuộc quận 8.,,image/jpeg,1080,1920,True,True,True,"Đông Nam Bộ là một trong hai phần của Nam Bộ Việt Nam, có tên gọi khác ngắn gọn được người dân miền Nam Việt Nam thường gọi là Miền Đông. Vùng Đông Nam Bộ có 1 thành phố trực thuộc Trung ương và 5 tỉnh.
Theo kết quả điều tra dân số ngày 1 tháng 4 năm 2009, dân số vùng Đông Nam Bộ là 14.025.387 người, chiếm 16.34% dân số Việt Nam, là vùng có tốc độ tăng dân số cao nhất nước, do thu hút nhiều dân nhập cư từ các vùng khác đến sinh sống. Tuy nhiên chỉ sau 10 năm, theo số liệu mới đây năm 2019 của Tổng cục Thống kê VN, tổng dân số của vùng Đông Nam Bộ là 17.828.907 người trên một diện tích là 23.564,4 km², với mật độ dân số bình quân 706 người/km², chiếm 18.5% dân số cả nước.
Riêng tài liệu trước đây của Tổng cục Thống kê Việt Nam và một số ít tài liệu khác dựa theo số liệu thống kê của Tổng cục Thống kê lại xếp 2 tỉnh Ninh Thuận, Bình Thuận vào vùng Đông Nam Bộ. Hiện nay Tổng cục Thống kê đã xếp Bình Thuận cùng Ninh Thuận vào vùng Nam Trung Bộ.
Đông Nam Bộ là khu vực kinh tế phát triển nhất ở Việt Nam, đóng góp hơn 2/3 thu ngân sách hằng năm, có tỉ lệ đô thị hóa 62.8%."
3,id,https://id.wikipedia.org/wiki/Kabinet_Indonesia_Maju,https://upload.wikimedia.org/wikipedia/commons/9/9d/KIM_Fachrul_Razi.jpg,Kabinet Indonesia Maju,Menteri,Kabinet Indonesia Maju / Anggota / Menteri,,English: Onward Indonesia Cabinet Official Portrait - Fachrul Razi as Minister of Religious Affairs,,image/jpeg,533,400,True,True,True,"Kabinet Indonesia Maju adalah kabinet pemerintahan Indonesia pimpinan Presiden Joko Widodo dan Wakil Presiden Ma'ruf Amin. Susunan kabinet ini berasal dari kalangan profesional, usulan partai politik pengusung pasangan Jokowi-Amin pada Pilpres 2019 yang tergabung dalam Koalisi Indonesia Kerja ditambah Partai Gerindra yang bergabung setelahnya, serta tim sukses pasangan Jokowi-Amin pada Pilpres 2019. Susunan kabinet diumumkan oleh Presiden Jokowi pada 23 Oktober 2019 dan resmi dilantik pada hari yang sama. Presiden Jokowi dan Wapres Ma'ruf Amin membacakan susunan kabinetnya di pelataran tangga Istana Negara. Dalam kesempatan itu, Jokowi menghadirkan para menterinya yang mengenakan kemeja batik. Kabinet Indonesia Maju terdiri dari 4 menteri koordinator dan 30 menteri."
4,vi,https://vi.wikipedia.org/wiki/%C3%9D,https://upload.wikimedia.org/wikipedia/commons/3/31/Prada_milano.JPG,Ý,Thời trang,Ý / Văn hoá / Thời trang,Cửa hàng Prada tại Milano,"English: Prada shop in Milan, Italy",,image/jpeg,1944,2592,True,True,True,"Ý hay Italia tên chính thức là nước Cộng hoà Ý là một nước cộng hoà nghị viện đơn nhất tại châu Âu. Lãnh thổ Ý vươn ra phần trung tâm của Địa Trung Hải, hai đảo lớn nhất là Sicilia và Sardegna. Dãy Alpes/Alpi giới hạn phần lục địa phía Bắc của Ý, tạo thành biên giới trên bộ với Pháp, Thụy Sĩ, Áo, Slovenia, trong khi San Marino và Vatican nằm lọt trong nước cộng hoà. Ý có diện tích là 301.338 km², và phần lớn có khí hậu ôn đới theo mùa và Địa Trung Hải. Do hình dạng lãnh thổ, Ý thường được ví như lo Stivale. Dân số Ý đạt khoảng 60 triệu người, là quốc gia đông dân thứ ba trong Liên minh châu Âu. Thủ đô của Ý là Roma, các vùng đô thị lớn khác là Milano, Napoli, Torino.
Đến thế kỷ I TCN, Đế quốc La Mã nổi lên thành thế lực chi phối tại bồn địa Địa Trung Hải, trở thành trung tâm lãnh đạo về văn hoá, chính trị và tôn giáo của văn minh phương Tây trong thời kỳ cổ đại. Di sản của đế quốc này được phổ biến và có thể nhận thấy trong luật dân sự, chính phủ cộng hoà, Cơ Đốc giáo và chữ cái Latinh trên toàn cầu."
5,vi,https://vi.wikipedia.org/wiki/Edward_VIII,https://upload.wikimedia.org/wikipedia/commons/9/91/George%2C_Duke_of_York%2C_and_his_children.jpg,Edward VIII,Cuộc sống ban đầu,Edward VIII / Cuộc sống ban đầu,"Edward (thứ hai từ bên trái) cùng với vua cha George V và các em (Albert và Mary), ảnh chụp bởi bà nội của ông, Thái tử phi Alexandra, năm 1899.","English: George, Duke of York, and his children",,image/jpeg,1500,1138,True,True,True,"Edward VIII là Vua của nước Anh thống nhất và tất cả các thuộc địa của Đế quốc Anh, và Hoàng đế Ấn Độ, từ ngày 20 tháng 1 năm 1936 cho đến lúc thoái vị ngày 11 tháng 12 cùng năm.
Edward là vương tử trưởng của Vua George V và Vương hậu Mary xứ Teck. Ông được tấn phong Thân vương xứ Wales vào ngày sinh nhật lần thứ 16, sáu tuần sau khi phụ vương của ông kế vị ngai vàng. Thời niên thiếu, ông phục vụ trong Hải quân Anh dưới thời Đệ Nhất Thế Chiến và có nhiều chuyến công du thay mặt cho phụ vương.
Edward trở thành quốc vương sau khi phụ vương băng hà đầu năm 1936. Tuy nhiên, ông tỏ ra khó chịu với những lễ nghi rườm rà chốn cung đình, khiến các chính trị gia trong nước lo lắng vì thái độ coi thường hiến pháp của ông. Chỉ vài tháng sau khi lên ngôi, ông gây ra một vụ khủng hoảng khi kết hôn với Wallis Simpson, một phụ nữ đến từ Hoa Kỳ đã từng li dị một đời chồng và đang sống li thân với người chồng thứ hai. Thủ tướng Anh và các thuộc địa phản đối hôn sự, lập luận rằng một phụ nữ đã từng li dị hai đời chồng không đủ tư cách để làm mẫu nghi thiên hạ."
6,vi,https://vi.wikipedia.org/wiki/B%E1%BB%99_%C4%91%E1%BB%99i_Bi%C3%AAn_ph%C3%B2ng_Vi%E1%BB%87t_Nam,https://upload.wikimedia.org/wikipedia/commons/f/f1/Vietnam_Border_Defense_Force_Corporal.jpg,Bộ đội Biên phòng Việt Nam,Quân hàm chức vụ trong Bộ đội biên phòng,Bộ đội Biên phòng Việt Nam / Quân hàm chức vụ trong Bộ đội biên phòng,,Vietnam Border Defense Force Corporal,,image/jpeg,470,194,True,True,True,"Bộ đội Biên phòng Việt Nam là một thành phần của Quân đội nhân dân Việt Nam, là lực lượng chuyên trách quản lý, bảo vệ chủ quyền, toàn vẹn lãnh thổ, an ninh, trật tự biên giới quốc gia trên đất liền, các hải đảo, vùng biển và tại các cửa khẩu theo phạm vi nhiệm vụ do pháp luật quy định và là một lực lượng thành viên trong khu vực phòng thủ tỉnh, huyện biên giới của nước Cộng hòa Xã hội Chủ nghĩa Việt Nam.
Bộ đội Biên phòng có nhiệm vụ chủ trì phối hợp với các ngành, lực lượng hữu quan trên địa bàn và chính quyền địa phương trong quản lý, bảo vệ đường biên quốc gia, mốc giới; duy trì thực hiện các hiệp định, quy chế biên giới và pháp luật về biên giới; phát hiện và đấu tranh với các hoạt động vi phạm và chống phá của các loại tội phạm, giữ vững chủ quyền, an ninh, trật tự ở khu vực biên giới; thực hiện nhiệm vụ đối ngoại biên phòng, quan hệ với các cơ quan hữu quan các nước láng giềng để giải quyết các vấn đề về quan hệ biên giới nhằm xây dựng biên giới hoà bình, hữu nghị, góp phần tạo môi trường ổn định, phát triển và phục vụ đắc lực cho chủ trương mở rộng hợp tác quốc tế."
7,id,https://id.wikipedia.org/wiki/Kiss:_The_Series,https://upload.wikimedia.org/wikipedia/commons/a/a5/Tawan_Vihokratana.JPG,Kiss: The Series,Pendukung,Kiss: The Series / Pemeran / Pendukung,,ไทย: เต ตะวัน วิหครัตน์,,image/jpeg,4272,2848,True,True,True,"Kiss: The Series adalah sebuah serial televisi Thailand yang diproduksi oleh GMMTV dan disiarkan dari 10 Januari sampai 1 Mei 2016. Serial tersebut adalah adaptasi dari novel grafis Pink Kiss dan Natural Kiss karya Hideko Sunshine. Pada 22 April 2018, GMM menyiarkan serial prekuel Kiss Me Again"
8,fil,https://tl.wikipedia.org/wiki/North_Luzon_Expressway,https://upload.wikimedia.org/wikipedia/commons/f/fb/North_Luzon_Expressway_logo.png,North Luzon Expressway,Pangunahing pagsasaayos,North Luzon Expressway / Kasaysayan / Pangunahing pagsasaayos,Dating logo ng NLEx mula 2005 hanggang 2017.,English: Logo of North Luzon Expressway (NLEX).,,image/png,210,1081,True,True,True,"Ang North Luzon Expressway, dating tinatawag na North Diversion Road at Manila North Expressway, ay isang may takdang mabilisang daanan na nagkokonekta sa Kalakhang Maynila sa mga lalawigan ng Gitnang Luzon sa Pilipinas. Ito ay isang bahagi ng Expressway 1 ng sistemang mabilisang daanan ng Kagawaran ng Pagawaing Bayan at Lansangan at Daang Radyal Blg. 8 ng sistemang arteryal ng mga lansangan sa Kamaynilaan. Itinayo ito noong dekada-1960.
Nagsisimula ito sa isang palitang trebol sa EDSA—karugtong sa Abenida Bonifacio—sa Lungsod Quezon. Dadaan ito sa Caloocan at Valenzuela ng Kamaynilaan, Bulacan, at Pampanga. Sa ngayon, nagtatapos ito sa Labasan ng Santa Ines sa Mabalacat, at pinagiisa sa Lansangang MacArthur pahilaga patungo sa natitirang bahagi ng Gitnang at Hilagang Luzon. May isang panukala na derektang kukonektahin ang mabilisang daanan sa Subic–Clark–Tarlac Expressway sa pamamagitan ng isang palitan na matatagpuan 3-kilometro hilaga ng kasalukuyang dulo nito sa Labasan ng Santa Ines. Ang bahagi ng mabilisang daanan sa pagitan ng Labasan ng Santa Rita sa Guiguinto at Palitan ng Balintawak sa Lungsod Quezon ay isang bahagi ng bagong pagkakalinya ng N1."
9,id,https://id.wikipedia.org/wiki/Tour_de_Singkarak,https://upload.wikimedia.org/wikipedia/commons/0/0e/Logo_of_Tour_de_Singkarak.svg,Tour de Singkarak,,Tour de Singkarak,Logo Tour de Singkarak (2009—2018),,,image/svg+xml,1312,1440,True,True,True,"Tour de Singkarak adalah kejuaraan balap sepeda resmi dari Persatuan Balap Sepeda Internasional yang diselenggarakan setiap tahun di Sumatra Barat. Kejuaraan yang pertama kali diselenggarakan pada tahun 2009 ini merupakan balapan jalan raya jarak jauh yang umumnya diadakan sekitar bulan April hingga Juni dan berlangsung selama seminggu. Kejuaraan ini telah menjalin kerjasama dengan Amaury Sport Organisation yang menjadi penyelenggara Tour de France di Prancis. Ranking Tour de Singkarak pada tingkat dunia dari jumlah penonton menduduki peringkat ke-5, setelah Tour de France, Giro d’Italia, Vuelta a Espana, dan Santos Tour Down Under.
Sesuai dengan namanya, Singkarak yang merupakan danau terbesar di Sumatra Barat menjadi bagian dari jalur lintasan Tour de Singkarak. Selain itu, beberapa kawasan wisata lain juga menjadi bagian dari jalur lintasan, termasuk Lembah Harau, Kota Tambang Sawahlunto, Istana Pagaruyung, Danau Maninjau, Kelok 44, Perkampungan Adat Nagari Sijunjung, Danau Diatas, dan Danau Dibawah.
Pada tahun 2019, Provinsi Jambi pertama kali ikut serta dalam Tour de Singkarak."
